Group1         Group2         
32             66             
24             75             
27             64             
33             75             
28             73             
27             73             
25             73             
28             73             
24             74             
25             72             
21             74             
34             63             
34             71             
17             69             
27             54             
27             75             
25             61             
26             71             
32             72             
21             62             
25             66             
32             67             
23             68             
26             73             
30             78             
25             74             
33             79             
27             78             
30             78             
24             78             
25             53             
33             73             
21             76             
31             78             
21             78             
32             62             
23             67             
15             71             
18             77             
24             81             
36             68             
12             66             
20             74             
36             83             
24             54             
18             54             
21             61             
26             55             
24             42             
24             55             
24             73             
22             70             
27             59             
26             70             
26             73             
29             54             
31             70             
20             67             
15             73             
30             67             
26             73             
34             62             
16             73             
26             69             
28             69             
24             46             
18             60             
31             38             
25             69             
16             37             
21             70             
21             74             
23             82             
24             74             
25             74             
20             32             
24             30             
23             30             
19             29             
25             12             
27             20             
28             32             
18             28             
27             23             
25             35             
24             45             
16             31             
22             39             
27             28             
22             30             
25             32             
25             23             
26             37             
19             29             
21             27             
20             30             
16             40             
19             26             
22             35             
21             33             
21             35             
24             37             
22             31             
19             35             
37             34             
15             37             
38             37             
38             37             
37             36             
38             35             
38             38             
34             35             
39             35             
36             35             
30             35             
34             35             
32             28             
26             36             
26             13             
33             44             
21             32             
23             32             
20             34             
18             29             
27             33             
17             33             
15             29             
29             33             
29             28             
32             32             
54             33             
55             29             
-              26             
-              29             
-              18             
-              62             
-              50             
-              -              
