TRIMERES récupérés le 18/03/2021;;;;;;;;;;;;;;;;;;;;;;;;
Tri par soustype, host puis par Résolution;;;;;;;;;;;;;;;;;;;;;;;;
"Group 1 (H1 group) and Group 2 (H3 group), each of which is further divided into three clades: (H1, H2, H5, H6 and H17), (H11, H13 and H16) and (H8, H9 and H12) and two clades: (H3, H4 and H14) and (H7, H10 and H15) (Nobusawa et al., 1991; Pica and Palese, 2013).";;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
PDB code;Subtype;Strain;Host;Mutation;Complexed;Method;Resolution (Å);Littérature;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;Intermediary and Post-Fusion;;;;;;;;;;;;;;;;;;;;;;;
7K39;H3N2;A/Hong Kong/1/1968 (pH 5.2 - A);Human;_;Antibody;ELECTRON MICROSCOPY;3;Structural intermediates in the low pH-induced transition of influenza hemagglutinin.;;;;;;;;;;;;;;;;
7K37;H3N2;A/Hong Kong/1/1968 (pH 7.8);Human;_;Antibody;ELECTRON MICROSCOPY;2,8;Structural intermediates in the low pH-induced transition of influenza hemagglutinin.;;;;;;;;;;;;;;;;
7K3A;H3N2;A/Hong Kong/1/1968 (pH 5.2 - B);Human;_;Antibody;ELECTRON MICROSCOPY;4,2;Structural intermediates in the low pH-induced transition of influenza hemagglutinin.;;;;;;;;;;;;;;;;
7K3B;H3N2;A/Hong Kong/1/1968 (pH 5.2 - C);Human;_;Antibody;ELECTRON MICROSCOPY;3,4;Structural intermediates in the low pH-induced transition of influenza hemagglutinin.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
6Y5G;H3N2;A/Aichi/2-1/1968 (pH 8);Human;_;_;ELECTRON MICROSCOPY;3;Structural transitions in influenza haemagglutinin at membrane fusion pH.;;;HA1;;;;;;;;;;;;;
6Y5H;H3N2;A/Aichi/2-1/1968 (pH 5 - State I);Human;_;_;ELECTRON MICROSCOPY;3;Structural transitions in influenza haemagglutinin at membrane fusion pH.;;;HA2;;;;;;;;;;;;;
6Y5I;H3N2;A/Aichi/2-1/1968 (pH 5 - State II);Human;_;_;ELECTRON MICROSCOPY;5,5;Structural transitions in influenza haemagglutinin at membrane fusion pH.;;;;;;;;;;;;;;;;
6Y5J;H3N2;A/Aichi/2-1/1968 (pH 5 - State III);Human;_;_;ELECTRON MICROSCOPY;5,6;Structural transitions in influenza haemagglutinin at membrane fusion pH.;;;;;;;;;;;;;;;;
